# 气象站 星沙街道, 中国, WMO_ID=57687，选择从 06.06.2022 至 02.06.2023, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/archive.php?wmo_id=57687&lang=cn
#
"当地时间 星沙街道";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.06.2023 02:00";"24.0";"744.1";"754.4";"-0.7";"86";"从西北偏北方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"29.1";"";"";"2500或更高，或无云。";"";"";"12.0";"21.5";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 23:00";"24.8";"744.8";"755.1";"0.5";"82";"从北方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.6";"29.1";"";"";"2500或更高，或无云。";"";"";"21.0";"21.5";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 20:00";"25.6";"744.3";"754.6";"0.8";"75";"从西北偏北方向吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"29.1";"";"";"2500或更高，或无云。";"";"";"30.0";"20.8";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 17:00";"28.2";"743.5";"753.8";"-0.9";"65";"从西北偏北方向吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"29.1";"";"";"2500或更高，或无云。";"";"";"30.0";"21.0";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 14:00";"28.3";"744.4";"754.7";"-1.6";"65";"从西北偏北方向吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"28.9";"";"";"2500或更高，或无云。";"";"";"30.0";"21.1";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 11:00";"26.2";"746.0";"756.4";"-0.3";"76";"从西北偏北方向吹来的风";"4";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"26.2";"";"";"2500或更高，或无云。";"";"";"21.0";"21.6";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 08:00";"23.8";"746.3";"756.7";"0.9";"86";"从西北方吹来的风";"4";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"25.7";"";"";"2500或更高，或无云。";"";"";"19.0";"21.3";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 05:00";"23.8";"745.4";"755.8";"-0.2";"87";"从西北偏北方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.5";"25.7";"";"";"2500或更高，或无云。";"";"";"16.0";"21.5";"无降水";"12";"地表潮湿";"";"";"";
"31.05.2023 02:00";"23.8";"745.6";"755.9";"-0.8";"88";"从西北偏北方向吹来的风";"4";"";"11";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"26.3";"";"";"2500或更高，或无云。";"";"";"11.0";"21.7";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 23:00";"24.3";"746.4";"756.7";"0.8";"88";"从西北偏北方向吹来的风";"4";"";"11";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.5";"27.6";"";"";"2500或更高，或无云。";"";"";"8.0";"22.2";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 20:00";"24.5";"745.6";"756.0";"0.3";"88";"从西北方吹来的风";"3";"";"11";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"";"";"";"2500或更高，或无云。";"";"";"7.0";"22.4";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 17:00";"25.2";"745.3";"755.6";"-0.8";"86";"从西北偏北方向吹来的风";"5";"";"11";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"";"";"";"2500或更高，或无云。";"";"";"8.0";"22.7";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 14:00";"25.7";"746.1";"756.4";"-1.3";"85";"从西北方吹来的风";"4";"";"11";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"";"";"";"2500或更高，或无云。";"";"";"5.0";"23.0";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 11:00";"24.8";"747.4";"757.7";"0.3";"89";"从西北偏北方向吹来的风";"5";"";"11";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"";"";"";"2500或更高，或无云。";"";"";"4.6";"22.9";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 08:00";"23.5";"747.1";"757.3";"1.2";"95";"从西北方吹来的风";"6";"";"11";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"34.4";"";"";"2500或更高，或无云。";"";"";"3.7";"22.7";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 05:00";"24.7";"745.9";"756.1";"0.0";"92";"从西北偏北方向吹来的风";"5";"";"11";"";"薄雾 ";"";"";"24.6";"34.4";"";"";"2500或更高，或无云。";"";"";"4.0";"23.3";"无降水";"12";"地表潮湿";"";"";"";
"30.05.2023 02:00";"26.3";"745.9";"756.1";"-0.2";"91";"从西北偏西方向吹来的风";"3";"";"9";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.6";"34.4";"";"";"2500或更高，或无云。";"";"";"6.0";"24.7";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 23:00";"27.6";"746.1";"756.4";"1.0";"86";"从西北方吹来的风";"4";"";"7";"";"薄雾 ";"";"";"24.6";"34.4";"";"";"2500或更高，或无云。";"";"";"7.0";"25.0";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 20:00";"29.7";"745.1";"755.4";"0.7";"78";"从西北偏北方向吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.6";"34.4";"";"";"2500或更高，或无云。";"";"";"14.0";"25.4";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 17:00";"34.1";"744.4";"754.6";"-1.2";"60";"从西北偏北方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.6";"35.2";"";"";"2500或更高，或无云。";"";"";"21.0";"25.2";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 14:00";"32.0";"745.6";"755.8";"-1.6";"67";"从西北偏北方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.6";"35.7";"";"";"2500或更高，或无云。";"";"";"14.0";"25.1";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 11:00";"27.6";"747.2";"757.4";"0.2";"81";"从西北偏北方向吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.6";"35.7";"";"";"2500或更高，或无云。";"";"";"8.0";"24.0";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 08:00";"24.6";"747.0";"757.3";"1.2";"95";"从西北方吹来的风";"5";"";"8";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"24.6";"35.7";"";"";"2500或更高，或无云。";"";"";"2.6";"23.7";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 05:00";"26.2";"745.8";"755.9";"0.6";"89";"从西北方吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"25.9";"35.7";"";"";"2500或更高，或无云。";"";"";"19.0";"24.2";"无降水";"12";"地表潮湿";"";"";"";
"29.05.2023 02:00";"27.7";"745.2";"755.3";"-0.4";"82";"无风";"0";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.5";"35.7";"";"";"2500或更高，或无云。";"";"";"25.0";"24.3";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 23:00";"29.8";"745.6";"755.7";"1.0";"70";"从南方吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"25.5";"35.7";"";"";"2500或更高，或无云。";"";"";"30.0";"23.7";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 20:00";"31.2";"744.6";"754.7";"0.4";"63";"从南方吹来的风";"3";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.5";"35.7";"";"";"2500或更高，或无云。";"";"";"30.0";"23.3";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 17:00";"35.2";"744.2";"754.3";"-0.8";"49";"从西南偏南方向吹来的风";"2";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.5";"35.7";"";"";"2500或更高，或无云。";"";"";"30.0";"22.9";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 14:00";"35.0";"745.0";"755.2";"-1.2";"51";"从西南偏南方向吹来的风";"4";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.5";"35.1";"";"";"2500或更高，或无云。";"";"";"30.0";"23.3";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 11:00";"33.1";"746.2";"756.3";"0.0";"58";"从南方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.5";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.7";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 08:00";"29.2";"746.2";"756.4";"1.2";"72";"从东南偏南方向吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.5";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.6";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 05:00";"26.1";"745.0";"755.2";"0.6";"83";"从东南偏南方向吹来的风";"3";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"22.6";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.0";"无降水";"12";"地表潮湿";"";"";"";
"28.05.2023 02:00";"28.1";"744.4";"754.5";"-0.5";"74";"从东南偏南方向吹来的风";"3";"";"12";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.0";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 23:00";"29.0";"744.9";"755.0";"0.8";"74";"从东南偏南方向吹来的风";"2";"";"12";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"22.6";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.9";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 20:00";"30.9";"744.1";"754.3";"0.6";"65";"从南方吹来的风";"3";"";"12";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.6";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 17:00";"32.9";"743.5";"753.7";"-0.9";"59";"从南方吹来的风";"3";"";"12";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"34.6";"";"";"2500或更高，或无云。";"";"";"30.0";"23.8";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 14:00";"34.2";"744.4";"754.6";"-1.2";"51";"从西南偏南方向吹来的风";"6";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"34.4";"";"";"2500或更高，或无云。";"";"";"30.0";"22.6";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 11:00";"32.2";"745.6";"755.8";"-0.1";"60";"从东南偏南方向吹来的风";"5";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"33.5";"";"";"2500或更高，或无云。";"";"";"30.0";"23.4";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 08:00";"26.0";"745.7";"756.0";"0.8";"91";"从东方吹来的风";"2";"";"";"";"雾或冰雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"";"";"";"2500或更高，或无云。";"";"";"2.9";"24.4";"无降水";"12";"地表潮湿";"";"";"";
"27.05.2023 05:00";"22.8";"744.9";"755.1";"0.3";"98";"从西北方吹来的风";"2";"";"7";"";"薄雾 ";"";"";"22.8";"33.5";"";"";"2500或更高，或无云。";"";"";"0.6";"22.5";"0.9";"12";"地表潮湿";"";"";"";
"27.05.2023 02:00";"23.4";"744.6";"754.8";"-0.6";"97";"从西北方吹来的风";"2";"";"7";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.4";"33.5";"";"";"2500或更高，或无云。";"";"";"1.9";"22.9";"0.9";"12";"地表潮湿";"";"";"";
"26.05.2023 23:00";"24.6";"745.2";"755.5";"0.3";"94";"从西北方吹来的风";"3";"";"8";"";"薄雾 ";"";"";"23.5";"33.5";"";"";"2500或更高，或无云。";"";"";"2.9";"23.6";"0.9";"12";"地表潮湿";"";"";"";
"26.05.2023 20:00";"26.4";"744.9";"755.2";"0.9";"93";"从西北偏西方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"33.5";"";"";"2500或更高，或无云。";"";"";"13.0";"25.2";"";"";"地表潮湿";"";"";"";
"26.05.2023 17:00";"33.0";"744.0";"754.2";"-1.6";"54";"从南方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"33.5";"";"";"2500或更高，或无云。";"";"";"30.0";"22.5";"无降水";"12";"地表潮湿";"";"";"";
"26.05.2023 14:00";"32.5";"745.6";"755.8";"-1.4";"59";"从西南偏南方向吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"32.7";"";"";"2500或更高，或无云。";"";"";"27.0";"23.4";"无降水";"12";"地表潮湿";"";"";"";
"26.05.2023 11:00";"29.1";"747.0";"757.3";"-0.4";"75";"从南方吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"29.5";"";"";"2500或更高，或无云。";"";"";"18.0";"24.2";"无降水";"12";"地表潮湿";"";"";"";
"26.05.2023 08:00";"23.9";"747.4";"757.8";"0.8";"93";"从东南偏东方向吹来的风";"2";"";"";"";"小雨（不冻） ";"小雨";"在整个相应周期内云遮住了一半或以下的天空";"21.4";"29.5";"";"";"2500或更高，或无云。";"";"";"9.0";"22.7";"无降水";"12";"地表潮湿";"";"";"";
"26.05.2023 05:00";"23.8";"746.6";"756.9";"0.2";"92";"从东南偏南方向吹来的风";"1";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"18.6";"29.5";"";"";"2500或更高，或无云。";"";"";"14.0";"22.4";"无降水";"12";"地表潮湿";"";"";"";
"26.05.2023 02:00";"24.3";"746.4";"756.7";"-0.8";"90";"从东南方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.2";"29.5";"";"";"2500或更高，或无云。";"";"";"20.0";"22.6";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 23:00";"25.5";"747.2";"757.6";"1.0";"84";"从东南方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"";"29.5";"";"";"2500或更高，或无云。";"";"";"25.0";"22.6";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 20:00";"26.0";"746.2";"756.7";"0.3";"83";"从东南方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.1";"29.5";"";"";"2500或更高，或无云。";"";"";"24.0";"22.9";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 17:00";"28.3";"745.9";"756.4";"-0.8";"70";"从东南方吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.1";"29.5";"";"";"2500或更高，或无云。";"";"";"24.0";"22.3";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 14:00";"28.6";"746.7";"757.1";"-1.2";"69";"从东南偏南方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.1";"28.6";"";"";"2500或更高，或无云。";"";"";"27.0";"22.4";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 11:00";"25.4";"747.9";"758.4";"-0.3";"71";"从东南偏南方向吹来的风";"4";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"18.1";"25.7";"";"";"2500或更高，或无云。";"";"";"19.0";"19.8";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 08:00";"21.4";"748.2";"758.7";"0.1";"83";"从东南方吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"17.5";"25.4";"";"";"2500或更高，或无云。";"";"";"12.0";"18.4";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 05:00";"18.8";"748.1";"758.6";"0.1";"94";"从东南偏东方向吹来的风";"2";"";"5";"";"薄雾 ";"";"";"15.7";"25.4";"";"";"2500或更高，或无云。";"";"";"5.0";"17.8";"无降水";"12";"地表潮湿";"";"";"";
"25.05.2023 02:00";"18.2";"748.0";"758.5";"0.1";"95";"从东方吹来的风";"1";"";"";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"15.7";"25.4";"";"";"2500或更高，或无云。";"";"";"4.8";"17.4";"无降水";"12";"地表潮湿";"";"";"";
"24.05.2023 23:00";"18.9";"747.9";"758.5";"0.9";"92";"从西方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"15.7";"25.4";"";"";"2500或更高，或无云。";"";"";"11.0";"17.6";"无降水";"12";"地表潮湿";"";"";"";
"24.05.2023 20:00";"20.7";"747.0";"757.6";"0.4";"79";"从东南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"15.7";"25.4";"";"";"2500或更高，或无云。";"";"";"21.0";"16.9";"无降水";"12";"地表潮湿";"";"";"";
"24.05.2023 17:00";"23.8";"746.6";"757.1";"-1.1";"64";"从东南方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"15.7";"25.4";"";"";"2500或更高，或无云。";"";"";"25.0";"16.6";"无降水";"12";"地表潮湿";"";"";"";
"24.05.2023 14:00";"25.4";"747.7";"758.2";"-1.7";"57";"从西南偏南方向吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"15.7";"25.4";"";"";"2500或更高，或无云。";"";"";"26.0";"16.3";"无降水";"12";"地表潮湿";"";"";"";
"24.05.2023 11:00";"21.3";"749.4";"760.0";"-0.1";"66";"从西方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"15.7";"21.6";"";"";"2500或更高，或无云。";"";"";"17.0";"14.7";"0.1";"12";"地表潮湿";"";"";"";
"24.05.2023 08:00";"17.5";"749.5";"760.1";"1.4";"89";"从西方吹来的风";"1";"";"5";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"15.7";"19.6";"";"";"2500或更高，或无云。";"";"";"6.0";"15.7";"0.1";"12";"地表潮湿";"";"";"";
